Species,Common Name,Year,Tails Collected ,Estimated Herbivory Damage (acres) 
Myocastor coypus,Nutria,2003,"332, 596","16, 906"
Myocastor coypus,Nutria,2004,"297, 535","53, 475"
Myocastor coypus,Nutria,2005,"168, 843","46, 181"
Myocastor coypus,Nutria,2006,"375, 683","34, 665"
Myocastor coypus,Nutria,2007,"308, 212","23, 141"
Myocastor coypus,Nutria,2008,"334, 038","20, 332"
Myocastor coypus,Nutria,2009,"445, 963","8, 475"
Myocastor coypus,Nutria,2010,"338, 512","6, 296"
Myocastor coypus,Nutria,2011,"354, 354","4, 234"
Myocastor coypus,Nutria,2012,"388, 160 ","4, 624"
Myocastor coypus,Nutria,2013,"388, 264","4, 181"
Myocastor coypus,Nutria,2014,"341, 708","6, 008"
Myocastor coypus,Nutria,2015,"348, 235","6, 496"
Myocastor coypus,Nutria,2016,"216, 052","5, 866"
