Year,Species,Metric Tons,Pounds,Dollars 
1962,Brown Shrimp,"5,913.40","13,036,627","4,563,398"
1963,Brown Shrimp,"12,328.70","27,179,843","6,203,225"
1964,Brown Shrimp,"7,312.00","16,120,139","4,116,750"
1965,Brown Shrimp,"13,069.60","28,813,346","7,909,744"
1966,Brown Shrimp,"13,727.60","30,263,827","10,576,469"
1967,Brown Shrimp,"21,785.10","48,027,532","12,614,798"
1968,Brown Shrimp,"18,973.10","41,828,149","12,837,532"
1969,Brown Shrimp,"17,668.70","38,952,379","12,515,225"
1970,Brown Shrimp,"19,695.70","43,421,103","13,760,117"
1971,Brown Shrimp,"21,443.00","47,273,322","16,995,294"
1978,Brown Shrimp,"25,376.50","55,945,092","35,822,179"
1979,Brown Shrimp,"19,751.50","43,544,237","53,660,411"
1980,Brown Shrimp,"15,606.00","34,404,993","37,306,950"
1981,Brown Shrimp,"26,033.30","57,392,972","50,267,849"
1982,Brown Shrimp,"23,005.60","50,718,109","63,930,889"
1983,Brown Shrimp,"18,110.00","39,925,384","55,510,427"
1984,Brown Shrimp,"24,647.50","54,337,801","58,093,040"
1985,Brown Shrimp,"25,378.00","55,948,367","46,563,483"
1986,Brown Shrimp,"28,468.10","62,760,689","68,818,756"
1987,Brown Shrimp,"26,443.00","58,296,288","78,688,116"
1988,Brown Shrimp,"23,799.20","52,467,622","68,936,672"
1989,Brown Shrimp,"25,030.10","55,181,298","64,985,876"
1990,Brown Shrimp,"32,487.90","71,622,853","71,039,376"
1991,Brown Shrimp,"19,932.00","43,942,110","53,040,606"
1992,Brown Shrimp,"18,257.90","40,251,413","57,721,719"
1993,Brown Shrimp,"18,417.50","40,603,125","43,931,558"
1994,Brown Shrimp,"16,131.00","35,562,392","57,171,391"
1995,Brown Shrimp,"20,422.60","45,023,769","61,201,539"
1996,Brown Shrimp,"23,324.00","51,420,083","61,837,922"
1997,Brown Shrimp,"19,566.90","43,137,080","67,213,611"
1998,Brown Shrimp,"22,743.70","50,140,696","54,985,093"
1999,Brown Shrimp,"26,538.40","58,506,585","63,132,470"
2000,Brown Shrimp,"28,175.40","62,115,420","96,514,340"
2001,Brown Shrimp,"28,714.00","63,302,987","90,520,847"
2002,Brown Shrimp,"24,231.30","53,420,402","61,280,654"
2003,Brown Shrimp,"26,583.10","58,605,029","51,964,591"
2004,Brown Shrimp,"25,013.70","55,145,295","40,413,287"
2005,Brown Shrimp,"17,663.20","38,940,349","41,101,637"
2006,Brown Shrimp,"21,775.70","48,006,642","38,831,190"
2007,Brown Shrimp,"20,469.80","45,127,747","43,815,591"
2008,Brown Shrimp,"11,304.40","24,921,659","22,693,702"
2009,Brown Shrimp,"15,091.70","33,271,170","25,559,523"
2010,Brown Shrimp,"7,830.40","17,262,865","22,071,570"
2011,Brown Shrimp,"17,813.80","39,272,274","34,680,125"
2012,Brown Shrimp,"13,186.10","29,070,079","33,161,874"
2013,Brown Shrimp,"18,234.60","40,200,043","52,008,251"
2014,Brown Shrimp,"19,957.30","43,997,826","88,616,097"
2015,Brown Shrimp,"13,819.30","30,466,110","27,762,038"
2016,Brown Shrimp,"10,833.10","23,882,609","18,935,545"
1962,Pink Shrimp,4.7,"10,384","5,311"
1963,Pink Shrimp,7.9,"17,472","9,409"
1965,Pink Shrimp,5.5,"12,048","6,004"
1966,Pink Shrimp,3.6,"7,960","4,995"
1968,Pink Shrimp,1.1,"2,416","1,728"
1969,Pink Shrimp,10.3,"22,797","16,241"
1970,Pink Shrimp,16.6,"36,669","11,592"
1971,Pink Shrimp,37.5,"82,738","22,366"
1978,Pink Shrimp,17.9,"39,368","39,968"
1979,Pink Shrimp,7.8,"17,150","25,422"
1981,Pink Shrimp,24,"52,918","129,641"
1982,Pink Shrimp,0.4,914,"2,558"
1983,Pink Shrimp,6.7,"14,787","44,371"
1984,Pink Shrimp,0.4,920,"2,588"
1985,Pink Shrimp,6.8,"14,988","27,044"
1986,Pink Shrimp,4.3,"9,424","32,126"
1987,Pink Shrimp,2.2,"4,845","9,164"
1988,Pink Shrimp,35,"77,067","88,267"
1989,Pink Shrimp,7.6,"16,836","28,952"
1990,Pink Shrimp,11.8,"26,089","40,422"
1992,Pink Shrimp,26.9,"59,309","114,855"
1993,Pink Shrimp,2.4,"5,387","10,439"
1994,Pink Shrimp,7.1,"15,657","22,392"
1995,Pink Shrimp,2.2,"4,768","15,288"
1996,Pink Shrimp,49,"108,097","160,773"
1997,Pink Shrimp,35.2,"77,697","184,458"
1998,Pink Shrimp,9.9,"21,862","54,075"
1999,Pink Shrimp,3.4,"7,464","12,173"
2001,Pink Shrimp,9.5,"20,927","29,718"
2002,Pink Shrimp,20.7,"45,629","62,144"
2003,Pink Shrimp,26.2,"57,792","97,910"
2004,Pink Shrimp,10.2,"22,545","29,728"
2005,Pink Shrimp,11,"24,288","31,902"
2006,Pink Shrimp,7.5,"16,593","18,937"
2007,Pink Shrimp,8.6,"18,946","28,342"
2008,Pink Shrimp,0.4,901,765
2009,Pink Shrimp,7.6,"16,861","21,869"
2010,Pink Shrimp,3.2,"7,033","9,478"
2011,Pink Shrimp,2.5,"5,574","6,642"
2012,Pink Shrimp,10.4,"23,032","35,109"
2013,Pink Shrimp,8.2,"18,028","34,943"
2014,Pink Shrimp,12.5,"27,509","35,273"
2015,Pink Shrimp,1.8,"3,868","7,927"
2016,Pink Shrimp,6.5,"14,413","27,655"
1983,Rock Shrimp,22,"48,412","20,476"
1985,Rock Shrimp,0,5,18
1988,Rock Shrimp,0.9,"1,973","1,018"
1989,Rock Shrimp,0,52,41
1990,Rock Shrimp,0.2,387,155
1992,Rock Shrimp,0.2,396,198
1993,Rock Shrimp,1.3,"2,831",991
1994,Rock Shrimp,11,"24,237","29,616"
1995,Rock Shrimp,1.8,"4,061","3,046"
1996,Rock Shrimp,10.3,"22,777","22,016"
1997,Rock Shrimp,2.6,"5,634","5,141"
1998,Rock Shrimp,1.8,"4,059","4,355"
1999,Rock Shrimp,1.3,"2,931","3,603"
2000,Rock Shrimp,0.1,304,578
2001,Rock Shrimp,0.3,656,"1,117"
2002,Rock Shrimp,1.7,"3,770","6,768"
2003,Rock Shrimp,18.8,"41,512","112,248"
2004,Rock Shrimp,1.9,"4,167","3,600"
2008,Rock Shrimp,5.4,"12,001","13,800"
2011,Rock Shrimp,5.7,"12,502","22,838"
