Year,Species,Metric Tons,Pounds,Dollars 
1985,Black Snapper,0.3,680,"1,153"
1986,Black Snapper,2.4,"5,210","7,096"
1987,Black Snapper,1.6,"3,495","4,340"
1988,Black Snapper,3.6,"7,962","12,006"
1989,Black Snapper,6.2,"13,713","23,983"
1990,Black Snapper,1.2,"2,736","2,581"
1999,Black Snapper,20.8,"45,922","82,381"
2000,Black Snapper,19.8,"43,575","81,756"
2001,Black Snapper,12.2,"26,789","44,667"
2002,Black Snapper,10.2,"22,536","37,017"
2003,Black Snapper,1,"2,308","3,444"
2004,Black Snapper,3.1,"6,785","11,718"
2005,Black Snapper,1.1,"2,442","4,274"
2006,Black Snapper,1.2,"2,736","5,097"
2007,Black Snapper,0.2,358,561
2008,Black Snapper,0.2,350,654
2009,Black Snapper,0,67,104
2011,Black Snapper,1.5,"3,402","8,348"
2012,Black Snapper,3,"6,521","16,678"
2014,Black Snapper,0.1,276,561
2015,Black Snapper,0.2,440,"1,429"
2016,Black Snapper,1.4,"2,986","9,168"
1985,Blackfin Snapper,1.2,"2,676","3,271"
1986,Blackfin Snapper,2.6,"5,840","6,139"
1990,Blackfin Snapper,4.2,"9,328","9,460"
1991,Blackfin Snapper,0.1,285,267
1997,Blackfin Snapper,0.1,124,261
1999,Blackfin Snapper,0.1,134,265
2000,Blackfin Snapper,0,102,137
2001,Blackfin Snapper,0.1,171,272
2002,Blackfin Snapper,0.4,916,"1,622"
2003,Blackfin Snapper,0.5,"1,042","1,760"
2004,Blackfin Snapper,0.5,"1,095","2,006"
2005,Blackfin Snapper,0.2,433,738
2008,Blackfin Snapper,0.7,"1,541","3,178"
2016,Blackfin Snapper,1.1,"2,317","6,369"
1999,Blackfin Snapper,0.1,320,484
2000,Blackfin Snapper,0.2,387,417
2002,Blackfin Snapper,0.1,244,424
2003,Blackfin Snapper,0.4,810,"1,397"
2004,Blackfin Snapper,0.3,602,934
2014,Blackfin Snapper,0.1,137,124
2016,Blackfin Snapper,0.2,422,699
