Station_ID,Group,Plot_Size_(m2),Collection_Date,Community,Sample_Type,Vegetation_Type,Percent_Cover_Total,Percent_Cover_Tree,Percent_Cover_Shrub,Percent_Cover_Herb,Percent_Cover_Carpet,Average_Height_Dominant_(cm),Average_Height_Tree_cm,Average_Height_Shrub_cm,Average_Height_Herb_cm,Average_Height_Carpet_cm,Scientific_Name_Originally_Observed,Common_Name_As_Originally_Observed,Scientific_Name_As_Currently_Recognized,Common_Name_As_Currently_Recognized,Percent_Cover,Braun_Blanquet_Rank,In_Out,Number_Planted,Number_Alive,Additional_Species_Description,Organization,Personnel,Comments
AT03-02,DA-1,4,11/2/1999,Saline,Random,Natural,0.5,,,<1,,5,,,5,,Batis maritima L.,turtleweed,Batis maritima L.,turtleweed,,,Out,,,,LA DEPT OF NAT RES (CRDT),M. Townson; D. Lee; T. Folse; G. Holm; M. Fugler; J. Visser; J. Rapp,
BA28-12R,BAY,4,10/22/2001,Saline,Random,Natural,0.5,,,<1,,5,,,5,,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,<1,+,Both,,,,LA DEPT OF NAT RES (CRDT),T. Folse; J. Rapp,
BA28-996R,BAY,4,10/22/2001,Saline,Random,Natural,0.5,,,<1,,20,,,20,,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,<1,+,Both,,,,LA DEPT OF NAT RES (CRDT),T. Folse; J. Rapp,
ME14-289,T403C,4,9/17/2003,Saline,Random,Planted,0.5,,,<1,,,,,100.58,,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,<1,+,In,1,1,OBL,LA DEPT OF NAT RES (CRDL),C. Thibodeaux; L. Sharp; M. Mouledous,"Terrace # 403, orientation east/west, length 500 ft, West transect south slope"
TE27-17,Dune,4,8/24/1999,Saline,Random,Planted,0.5,,,<1,,5,,,5,,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,Out,15,0,,LA DEPT OF NAT RES (CRDT),J. Stratford; K. Vincent,
TE27-23,Bay,4,9/19/2001,Saline,Random,Planted,0.5,,,<1,,90,,,90,,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,<1,+,Both,,,,LA DEPT OF NAT RES (CRDT),K. Gray; J. Rapp,
BA04-116,,4,9/2/2009,Saline,Random,Natural,100,,,100,,91,,,74,,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,25,2,Both,,,,GEC,J. Avant; J. Palmer,Photo: BA04-116.jpg
BA04-116,,4,9/2/2009,Saline,Random,Natural,100,,,100,,91,,,74,,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,80,5,Both,,,,GEC,J. Avant; J. Palmer,Photo: BA04-116.jpg
BA04-116,,4,9/2/2009,Saline,Random,Natural,100,,,100,,91,,,74,,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,15,2,Both,,,,GEC,J. Avant; J. Palmer,Photo: BA04-116.jpg
BA04-118,,4,9/8/2003,Saline,Random,Natural,100,0,0,100,0,135,0,0,110,0,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,60,4,Both,,,,LA DEPT OF NAT RES (CRDNO),W. Boshart; B. Carter,"new plot, old pole missing"
BA04-118,,4,9/8/2003,Saline,Random,Natural,100,0,0,100,0,135,0,0,110,0,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,40,3,Both,,,,LA DEPT OF NAT RES (CRDNO),W. Boshart; B. Carter,"new plot, old pole missing"
