Year,Collection_Date,Community,Sample_Type,Vegetation_Type,Percent_Cover_Total,Scientific_Name,Common_Name,Percent_Cover,In_Out,Number_Planted,Number_Alive,Organization,Personnel,Comments
2006,9/12/06,Saline,Random,,0,Distichlis spicata (L.) Greene,saltgrass,,Out,,,LA DEPT OF NAT RES (CRDL),C. Thibodeaux; D. Castellanos; M. Miller,Porewater Temp   SpCond  Salinity;Surface     28.1 C  26520    16.2 ppt    depth- 1.3 ft;10 cm        29.2 C  27150     16.6 ppt;30 cm        28.8 C  28200     17.4 ppt;Photo 73;Open water.
2006,9/12/06,Saline,Random,,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,Out,,,LA DEPT OF NAT RES (CRDL),C. Thibodeaux; D. Castellanos; M. Miller,Porewater Temp   SpCond  Salinity;Surface     28.1 C  26520    16.2 ppt    depth- 1.3 ft;10 cm        29.2 C  27150     16.6 ppt;30 cm        28.8 C  28200     17.4 ppt;Photo 73;Open water.
1995,1/24/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,1,LA DEPT OF NAT RES (CRDL),L. Schexnaider; S. Gardner; K. Vincent,
1995,5/26/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),C. Steyer; K. Vincent; R. Libersat,
1995,1/24/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),L. Schexnaider; S. Gardner; K. Vincent,
1995,5/26/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),C. Steyer; K. Vincent; R. Libersat,
1995,5/26/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),R. Libersat; K. Vincent; C. Steyer,
1995,5/26/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),C. Steyer; K. Vincent; R. Libersat,
1995,1/24/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),L. Schexnaider; S. Gardner; K. Vincent,
1995,5/26/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),C. Steyer; K. Vincent; R. Libersat,
1995,1/24/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),S. Gardner; K. Vincent; L. Schexnaider,
1995,5/26/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),R. Libersat; K. Vincent; C. Steyer,
1995,1/24/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),L. Schexnaider; S. Gardner; K. Vincent,
1995,5/26/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),C. Steyer; K. Vincent; R. Libersat,
1995,1/24/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),L. Schexnaider; S. Gardner; K. Vincent,
1995,5/26/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),C. Steyer; K. Vincent; R. Libersat,
1995,1/24/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),L. Schexnaider; S. Gardner; K. Vincent,
1995,5/26/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),C. Steyer; K. Vincent; R. Libersat,
1995,1/24/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),K. Vincent; L. Schexnaider; S. Gardner,
1995,5/26/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),K. Vincent; R. Libersat; C. Steyer,
1995,1/24/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,7,LA DEPT OF NAT RES (CRDL),S. Gardner; L. Schexnaider; K. Vincent,
1995,5/26/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),R. Libersat; K. Vincent; C. Steyer,
1995,1/24/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),L. Schexnaider; S. Gardner; K. Vincent,
1995,5/26/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),C. Steyer; K. Vincent; R. Libersat,
1995,5/26/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),C. Steyer; K. Vincent; R. Libersat,
1994,9/20/94,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,8,LA DEPT OF NAT RES (CRDL),K. Vincent; D. Weifenbach; M. Miller,
1995,1/24/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),S. Gardner; L. Schexnaider; K. Vincent,
1995,5/26/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),K. Vincent; R. Libersat; C. Steyer,
1994,9/20/94,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),D. Weifenbach; K. Vincent; M. Miller,
1995,1/24/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),K. Vincent; L. Schexnaider; S. Gardner,
1995,5/26/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),C. Steyer; K. Vincent; R. Libersat,
