Year,Collection_Date,Community,Sample_Type,Vegetation_Type,Percent_Cover_Total,Percent_Cover_Shrub,Percent_Cover_Herb,Percent_Cover_Carpet,Average_Height_Dominant_(cm),Average_Height_Tree_cm,Average_Height_Shrub_cm,Average_Height_Herb_cm,Average_Height_Carpet_cm,Scientific_Name,Common_Name,Percent_Cover,In_Out,Number_Planted,Number_Alive,Additional_Species_Description,Organization,Personnel,Comments
2001,4/18/01,Saline,Random,Natural,100,,100,,20,,,20,,Avicennia germinans (L.) L.,black mangrove,Solitary,In,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
2003,10/20/03,Saline,Random,Planted,100,<1,100,,84,,101,84,,Avicennia germinans (L.) L.,black mangrove,Solitary,Both,,,,LA DEPT OF NAT RES (CRDT),G. Curole; T. Hubbell; R. Chiasson,
2003,10/20/03,Saline,Random,Planted,100,5,95,,88,,73,88,,Avicennia germinans (L.) L.,black mangrove,5,Both,,,,LA DEPT OF NAT RES (CRDT),G. Curole; T. Hubbell; R. Chiasson,Spartina alterniflora Loisel. indeterminate.
2003,10/20/03,Saline,Random,Natural,100,,100,,71,,,71,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),G. Curole; T. Hubbell; R. Chiasson,
2002,9/18/02,Saline,Random,Natural,100,,100,,160,,,160,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; T. Folse,
2002,9/18/02,Saline,Random,Planted,100,0.01,100,,150,,70,150,,Avicennia germinans (L.) L.,black mangrove,Solitary,Both,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; T. Folse,Spartina alterniflora indeterminate.
2002,9/18/02,Saline,Random,Natural,100,,100,,155,,,155,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; T. Folse,
2002,9/18/02,Saline,Random,Planted,100,,100,,160,,,160,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; T. Folse,Spartina alterniflora indeterminate.
2002,9/18/02,Saline,Random,Natural,100,,100,,165,,,165,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),T. Folse,
2002,9/18/02,Saline,Random,Planted,100,,100,,160,,,160,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),G. Curole; T. Hubbell; T. Folse,Spartina alterniflora indeterminate.
2002,9/18/02,Saline,Random,Natural,100,,100,,155,,,155,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; T. Folse,
2003,10/20/03,Saline,Random,Natural,100,<1,100,,148,,122,148,,Avicennia germinans (L.) L.,black mangrove,Solitary,Both,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; R. Chiasson,
