Year,Common_Name,Scientific_Name,percent_cover_mean
1999,black mangrove,Avicennia germinans (L.) L.,23.333333333333332
2001,black mangrove,Avicennia germinans (L.) L.,23.91304347826087
2002,black mangrove,Avicennia germinans (L.) L.,88.83333333333333
2003,black mangrove,Avicennia germinans (L.) L.,73.74418604651163
2004,black mangrove,Avicennia germinans (L.) L.,45.743589743589745
2006,black mangrove,Avicennia germinans (L.) L.,70.51282051282051
2007,black mangrove,Avicennia germinans (L.) L.,68.96153846153847
2008,black mangrove,Avicennia germinans (L.) L.,75.77777777777777
2009,black mangrove,Avicennia germinans (L.) L.,69.78787878787878
2010,black mangrove,Avicennia germinans (L.) L.,58.80952380952381
2011,black mangrove,Avicennia germinans (L.) L.,62.6
2012,black mangrove,Avicennia germinans (L.) L.,61.666666666666664
2013,black mangrove,Avicennia germinans (L.) L.,69.27450980392157
2014,black mangrove,Avicennia germinans (L.) L.,53.61538461538461
2015,black mangrove,Avicennia germinans (L.) L.,61.666666666666664
2016,black mangrove,Avicennia germinans (L.) L.,60.25333333333333
2017,black mangrove,Avicennia germinans (L.) L.,65.75
