Year,Common_Name_As_Originally_Observed,Scientific_Name_As_Currently_Recognized,percent_cover_mean
2002,black mangrove,Avicennia germinans (L.) L.,45
2003,black mangrove,Avicennia germinans (L.) L.,46
2004,black mangrove,Avicennia germinans (L.) L.,46
2006,black mangrove,Avicennia germinans (L.) L.,71
2007,black mangrove,Avicennia germinans (L.) L.,69
2008,black mangrove,Avicennia germinans (L.) L.,76
2009,black mangrove,Avicennia germinans (L.) L.,70
2010,black mangrove,Avicennia germinans (L.) L.,59
2011,black mangrove,Avicennia germinans (L.) L.,63
2012,black mangrove,Avicennia germinans (L.) L.,62
2013,black mangrove,Avicennia germinans (L.) L.,69
2014,black mangrove,Avicennia germinans (L.) L.,67
2015,black mangrove,Avicennia germinans (L.) L.,62
2016,black mangrove,Avicennia germinans (L.) L.,67
2017,black mangrove,Avicennia germinans (L.) L.,66
