Year,Species,Metric Tons,Pounds,Dollars 
1950,Black Drum,89.5,"197,300","15,092"
1950,Red Drum ,206.6,"455,400","76,013"
1951,Black Drum,106.6,"235,000","23,500"
1951,Red Drum ,174,"383,500","54,572"
1952,Black Drum,63.2,"139,300","20,903"
1952,Red Drum ,148.6,"327,700","85,202"
1953,Black Drum,29.2,"64,400","8,929"
1953,Red Drum ,123.6,"272,500","69,772"
1954,Black Drum,30.9,"68,100","8,112"
1954,Red Drum ,122.7,"270,500","56,366"
1955,Black Drum,58.2,"128,300","12,561"
1955,Red Drum ,156.1,"344,200","80,027"
1956,Black Drum,67,"147,700","14,591"
1956,Red Drum ,184.6,"407,000","83,136"
1957,Black Drum,83.3,"183,700","17,965"
1957,Red Drum ,160.3,"353,300","69,030"
1958,Black Drum,81.5,"179,700","13,609"
1958,Red Drum ,221.1,"487,500","93,489"
1959,Black Drum,72.9,"160,700","8,035"
1959,Red Drum ,221.4,"488,100","71,895"
1960,Black Drum,86.3,"190,200","11,030"
1960,Red Drum ,194.1,"428,000","63,270"
1961,Black Drum,175.8,"387,600","20,112"
1961,Red Drum ,302.1,"666,000","97,508"
1962,Black Drum,140.1,"308,900","19,009"
1962,Red Drum ,257.3,"567,200","88,405"
1963,Black Drum,155.9,"343,600","22,221"
1963,Red Drum ,211.2,"465,600","79,035"
1964,Black Drum,139,"306,500","22,798"
1964,Red Drum ,141.4,"311,700","50,199"
1965,Black Drum,88.3,"194,700","16,939"
1965,Red Drum ,213.7,"471,200","82,790"
1966,Black Drum,112.2,"247,300","19,944"
1966,Red Drum ,241,"531,400","90,662"
1967,Black Drum,119.9,"264,400","17,450"
1967,Red Drum ,296.6,"653,900","109,136"
1968,Black Drum,163.2,"359,900","24,956"
1968,Red Drum ,336.1,"740,900","101,571"
1969,Black Drum,217,"478,300","32,317"
1969,Red Drum ,354.8,"782,100","114,297"
1970,Black Drum,197,"434,200","32,644"
1970,Red Drum ,358,"789,200","127,120"
1971,Black Drum,229.4,"505,800","35,775"
1971,Red Drum ,328.3,"723,700","136,749"
1972,Black Drum,245,"540,200","38,467"
1972,Red Drum ,403.2,"889,000","156,759"
1973,Black Drum,245.6,"541,500","44,884"
1973,Red Drum ,536.8,"1,183,500","229,112"
1974,Black Drum,199.7,"440,200","41,628"
1974,Red Drum ,651.4,"1,436,100","296,470"
1975,Black Drum,125,"275,500","29,033"
1975,Red Drum ,617.9,"1,362,300","329,616"
1976,Black Drum,262.6,"579,000","68,701"
1976,Red Drum ,"1,003.60","2,212,500","599,675"
1977,Black Drum,264.4,"582,900","81,798"
1977,Red Drum ,651.1,"1,435,500","497,097"
1978,Black Drum,263.2,"580,207","116,354"
1978,Red Drum ,552.8,"1,218,797","532,921"
1979,Black Drum,243.1,"535,993","98,661"
1979,Red Drum ,479.3,"1,056,697","563,479"
1980,Black Drum,213.9,"471,656","92,910"
1980,Red Drum ,328.8,"724,777","422,923"
1981,Black Drum,"1,310.40","2,888,988","612,204"
1981,Red Drum ,407.6,"898,585","646,680"
1982,Black Drum,766.9,"1,690,712","572,882"
1982,Red Drum ,659.8,"1,454,503","953,253"
1983,Black Drum,843.2,"1,858,879","703,453"
1983,Red Drum ,879.3,"1,938,615","1,403,272"
1984,Black Drum,896.1,"1,975,626","1,042,759"
1984,Red Drum ,"1,183.20","2,608,383","2,185,173"
1985,Black Drum,"1,551.90","3,421,325","1,018,689"
1985,Red Drum ,"1,330.70","2,933,573","2,785,393"
1986,Black Drum,"2,370.30","5,225,656","1,836,933"
1986,Red Drum ,"3,546.10","7,817,694","5,707,526"
1987,Black Drum,"3,638.30","8,020,901","2,670,321"
1987,Red Drum ,"2,073.50","4,571,177","5,161,533"
1988,Black Drum,"3,972.10","8,756,913","2,347,837"
1988,Red Drum ,111.3,"245,365","344,824"
1989,Black Drum,"1,998.50","4,405,882","1,831,962"
1989,Red Drum ,11.3,"24,811","26,546"
1990,Black Drum,"1,304.40","2,875,627","1,115,212"
1991,Black Drum,868.2,"1,914,090","1,157,937"
1992,Black Drum,"1,367.20","3,014,135","1,428,767"
1993,Black Drum,"1,441.60","3,178,195","1,958,349"
1993,Red Drum ,0.9,"1,884","1,029"
1994,Black Drum,"1,695.90","3,738,821","2,531,907"
1994,Red Drum ,1.3,"2,957","8,132"
1995,Black Drum,"1,360.50","2,999,438","2,332,328"
1996,Black Drum,734.4,"1,619,152","966,788"
1996,Red Drum ,0.9,"1,925","2,639"
1997,Black Drum,745.5,"1,643,434","1,218,465"
