Year,Common_Name_As_Originally_Observed,Scientific_Name_As_Currently_Recognized,percent_cover_mean
1997,common reed,Phragmites australis (Cav.) Trin. ex Steud.,100
1999,common reed,Phragmites australis (Cav.) Trin. ex Steud.,100
2002,common reed,Phragmites australis (Cav.) Trin. ex Steud.,95
2006,common reed,Phragmites australis (Cav.) Trin. ex Steud.,70
2007,common reed,Phragmites australis (Cav.) Trin. ex Steud.,79
2008,common reed,Phragmites australis (Cav.) Trin. ex Steud.,71
2009,common reed,Phragmites australis (Cav.) Trin. ex Steud.,75
2010,common reed,Phragmites australis (Cav.) Trin. ex Steud.,69
2011,common reed,Phragmites australis (Cav.) Trin. ex Steud.,74
2012,common reed,Phragmites australis (Cav.) Trin. ex Steud.,77
2013,common reed,Phragmites australis (Cav.) Trin. ex Steud.,66
2014,common reed,Phragmites australis (Cav.) Trin. ex Steud.,57
2015,common reed,Phragmites australis (Cav.) Trin. ex Steud.,60
2016,common reed,Phragmites australis (Cav.) Trin. ex Steud.,72
2017,common reed,Phragmites australis (Cav.) Trin. ex Steud.,64
