Year,Common_Name_As_Originally_Observed,Scientific_Name_As_Currently_Recognized,percent_cover_mean
1997,aster,Symphyotrichum Nees,80
1997,broadleaf cattail,Typha latifolia L.,95
1997,California bulrush,Schoenoplectus californicus (C.A. Mey.) Palla,50
1997,camphor pluchea,Pluchea camphorata (L.) DC.,70
1997,cattail,Typha L.,70
1997,common reed,Phragmites australis (Cav.) Trin. ex Steud.,100
1997,cosmopolitan bulrush,Bolboschoenus maritimus (L.) Palla,80
1997,crested saltbush,Atriplex cristata Humb. & Bonpl. ex Willd.,100
1997,dwarf spikerush,"Eleocharis parvula (Roem. & Schult.) Link ex Bluff, Nees & Schauer",50
1997,eastern annual saltmarsh aster,Symphyotrichum subulatum (Michx.) G.L. Nesom,100
1997,eastern baccharis,Baccharis halimifolia L.,78
1997,fragrant flatsedge,Cyperus odoratus L.,80
1997,giant cutgrass,Zizaniopsis miliacea (Michx.) D?ll & Asch.,50
1997,hairypod cowpea,Vigna luteola (Jacq.) Benth.,100
1997,Jesuit's bark,Iva frutescens L.,90
1997,marsh fimbry,Fimbristylis castanea (Michx.) Vahl,100
1997,needlegrass rush,Juncus roemerianus Scheele,78
1997,nightshade,Solanum L.,100
1997,perennial saltmarsh aster,Symphyotrichum tenuifolium (L.) G.L. Nesom,82
1997,saltgrass,Distichlis spicata (L.) Greene,87
1997,saltmarsh morning-glory,Ipomoea sagittata Poir.,90
1997,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,82
1997,seashore paspalum,Paspalum vaginatum Sw.,38
1997,seaside goldenrod,Solidago sempervirens L.,85
1997,seaside tansy,Borrichia Adans.,100
1997,smooth cordgrass,Spartina alterniflora Loisel.,77
1997,southern amaranth,Amaranthus australis (A. Gray) Sauer,93
1997,sturdy bulrush,Bolboschoenus robustus (Pursh) Sojÿk,67
1997,tamarisk,Tamarix L.,50
1997,white spikerush,Eleocharis albida Torr.,50
1999,American cupscale,Sacciolepis striata (L.) Nash,80
1999,big cordgrass,Spartina cynosuroides (L.) Roth,70
1999,bigpod sesbania,Sesbania herbacea (Mill.) McVaugh,100
1999,broadleaf cattail,Typha latifolia L.,100
1999,bulltongue arrowhead,Sagittaria lancifolia L.,93
1999,California bulrush,Schoenoplectus californicus (C.A. Mey.) Palla,100
1999,camphor pluchea,Pluchea camphorata (L.) DC.,100
1999,chairmaker's bulrush,Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller,25
1999,coast cockspur grass,Echinochloa walteri (Pursh) A. Heller,100
1999,common reed,Phragmites australis (Cav.) Trin. ex Steud.,100
1999,common threesquare,Schoenoplectus pungens (Vahl) Palla,99
1999,cosmopolitan bulrush,Bolboschoenus maritimus (L.) Palla,100
1999,dock,Rumex L.,100
1999,dogfennel,Eupatorium capillifolium (Lam.) Small,100
1999,dotted smartweed,Polygonum punctatum Elliott,93
1999,eastern annual saltmarsh aster,Symphyotrichum subulatum (Michx.) G.L. Nesom,80
1999,eastern baccharis,Baccharis halimifolia L.,99
1999,false daisy,Eclipta prostrata (L.) L.,100
1999,fern flatsedge,Cyperus filicinus Vahl,100
1999,fragrant flatsedge,Cyperus odoratus L.,100
1999,green flatsedge,Cyperus virens Michx.,100
1999,hairypod cowpea,Vigna luteola (Jacq.) Benth.,90
1999,herb of grace,Bacopa monnieri (L.) Pennell,98
1999,Jamaica swamp sawgrass,Cladium mariscus (L.) Pohl,100
1999,Jesuit's bark,Iva frutescens L.,78
1999,knotweed,Polygonum L.,100
1999,largeleaf pennywort,Hydrocotyle bonariensis Comm. ex Lam.,80
1999,marsh elder,Iva L.,28
1999,mountain spikerush,Eleocharis montana (Kunth) Roem. & Schult.,90
1999,perennial saltmarsh aster,Symphyotrichum tenuifolium (L.) G.L. Nesom,93
1999,saltgrass,Distichlis spicata (L.) Greene,72
1999,saltmarsh morning-glory,Ipomoea sagittata Poir.,93
1999,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,75
1999,seashore paspalum,Paspalum vaginatum Sw.,68
1999,seaside goldenrod,Solidago sempervirens L.,100
1999,smooth cordgrass,Spartina alterniflora Loisel.,68
1999,southern amaranth,Amaranthus australis (A. Gray) Sauer,74
1999,spikerush,Eleocharis R. Br.,100
1999,St. Johnswort,Hypericum L.,99
1999,sturdy bulrush,Bolboschoenus robustus (Pursh) Sojÿk,67
1999,swamp smartweed,Polygonum hydropiperoides Michx.,100
1999,turkey tangle fogfruit,Phyla nodiflora (L.) Greene,80
1999,Unknown,Unknown,100
1999,yellow bristlegrass,Setaria pumila (Poir.) Roem. & Schult.,100
1999,yellow nutsedge,Cyperus esculentus L.,100
2000,eastern baccharis,Baccharis halimifolia L.,65
2000,hairypod cowpea,Vigna luteola (Jacq.) Benth.,87
2000,Jesuit's bark,Iva frutescens L.,85
2000,perennial saltmarsh aster,Symphyotrichum tenuifolium (L.) G.L. Nesom,75
2000,saltgrass,Distichlis spicata (L.) Greene,81
2000,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,76
2000,smooth cordgrass,Spartina alterniflora Loisel.,82
2001,annual marsh elder,Iva annua L.,99
2001,aster,Symphyotrichum Nees,100
2001,big cordgrass,Spartina cynosuroides (L.) Roth,95
2001,bulrush,Schoenoplectus (Rchb.) Palla,100
2001,cattail,Typha L.,100
2001,chairmaker's bulrush,Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller,100
2001,common threesquare,Schoenoplectus pungens (Vahl) Palla,95
2001,cosmopolitan bulrush,Bolboschoenus maritimus (L.) Palla,99
2001,eastern baccharis,Baccharis halimifolia L.,95
2001,herb of grace,Bacopa monnieri (L.) Pennell,95
2001,needlegrass rush,Juncus roemerianus Scheele,98
2001,perennial saltmarsh aster,Symphyotrichum tenuifolium (L.) G.L. Nesom,100
2001,saltgrass,Distichlis spicata (L.) Greene,99
2001,saltmarsh morning-glory,Ipomoea sagittata Poir.,100
2001,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,99
2001,seashore paspalum,Paspalum vaginatum Sw.,99
2001,seaside goldenrod,Solidago sempervirens L.,100
2001,smooth cordgrass,Spartina alterniflora Loisel.,2
2001,southern amaranth,Amaranthus australis (A. Gray) Sauer,98
2001,sturdy bulrush,Bolboschoenus robustus (Pursh) Sojÿk,95
2001,Virginia saltmarsh mallow,Kosteletzkya virginica (L.) C. Presl ex A. Gray,100
2001,NA,NA,0
2002,annual marsh elder,Iva annua L.,96
2002,Bare Ground,Bare Ground,0
2002,big cordgrass,Spartina cynosuroides (L.) Roth,2
2002,black mangrove,Avicennia germinans (L.) L.,45
2002,bristlegrass,Setaria P. Beauv.,97
2002,camphor pluchea,Pluchea camphorata (L.) DC.,94
2002,cattail,Typha L.,90
2002,chairmaker's bulrush,Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller,96
2002,coast cockspur grass,Echinochloa walteri (Pursh) A. Heller,90
2002,common reed,Phragmites australis (Cav.) Trin. ex Steud.,95
2002,cosmopolitan bulrush,Bolboschoenus maritimus (L.) Palla,96
2002,crowngrass,Paspalum L.,95
2002,dwarf spikerush,"Eleocharis parvula (Roem. & Schult.) Link ex Bluff, Nees & Schauer",2
2002,eastern baccharis,Baccharis halimifolia L.,94
2002,fragrant flatsedge,Cyperus odoratus L.,86
2002,giant bristlegrass,Setaria magna Griseb.,97
2002,herb of grace,Bacopa monnieri (L.) Pennell,2
