Year,Common_Name_As_Originally_Observed,Scientific_Name_As_Currently_Recognized,percent_cover_mean
1997,smooth cordgrass,Spartina alterniflora Loisel.,77
1999,smooth cordgrass,Spartina alterniflora Loisel.,68
2000,smooth cordgrass,Spartina alterniflora Loisel.,82
2001,smooth cordgrass,Spartina alterniflora Loisel.,2
2002,smooth cordgrass,Spartina alterniflora Loisel.,34
2003,smooth cordgrass,Spartina alterniflora Loisel.,33
2004,smooth cordgrass,Spartina alterniflora Loisel.,40
2005,smooth cordgrass,Spartina alterniflora Loisel.,47
2006,smooth cordgrass,Spartina alterniflora Loisel.,73
2007,smooth cordgrass,Spartina alterniflora Loisel.,75
2008,smooth cordgrass,Spartina alterniflora Loisel.,76
2009,smooth cordgrass,Spartina alterniflora Loisel.,70
2010,smooth cordgrass,Spartina alterniflora Loisel.,76
2011,smooth cordgrass,Spartina alterniflora Loisel.,72
2012,smooth cordgrass,Spartina alterniflora Loisel.,68
2013,smooth cordgrass,Spartina alterniflora Loisel.,72
2014,smooth cordgrass,Spartina alterniflora Loisel.,71
2015,smooth cordgrass,Spartina alterniflora Loisel.,73
2016,smooth cordgrass,Spartina alterniflora Loisel.,72
2017,smooth cordgrass,Spartina alterniflora Loisel.,70
