Year,Common_Name,Scientific_Name,percent_cover_mean
1994,smooth cordgrass,Spartina alterniflora Loisel.,3.526315789473684
1995,common reed,Phragmites australis (Cav.) Trin. ex Steud.,42.9
1995,smooth cordgrass,Spartina alterniflora Loisel.,24.803529411764707
1996,common reed,Phragmites australis (Cav.) Trin. ex Steud.,70.1425
1996,saltgrass,Distichlis spicata (L.) Greene,37.5
1996,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,54.785714285714285
1996,smooth cordgrass,Spartina alterniflora Loisel.,83.4511320754717
1996,turtleweed,Batis maritima L.,62
1997,saltgrass,Distichlis spicata (L.) Greene,20
1997,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,47.36764705882353
1997,smooth cordgrass,Spartina alterniflora Loisel.,45.25
1999,common reed,Phragmites australis (Cav.) Trin. ex Steud.,80.47916666666667
1999,saltgrass,Distichlis spicata (L.) Greene,10
1999,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,25.113636363636363
1999,smooth cordgrass,Spartina alterniflora Loisel.,78.22916666666667
1999,turtleweed,Batis maritima L.,0.5
2000,saltgrass,Distichlis spicata (L.) Greene,95
2000,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,95
2001,common reed,Phragmites australis (Cav.) Trin. ex Steud.,96.5
2001,saltgrass,Distichlis spicata (L.) Greene,83.29347826086956
2001,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,55.88235294117647
2001,smooth cordgrass,Spartina alterniflora Loisel.,38.28350515463917
2001,turtleweed,Batis maritima L.,80.78082191780823
2002,common reed,Phragmites australis (Cav.) Trin. ex Steud.,87.5
2002,saltgrass,Distichlis spicata (L.) Greene,75.22727272727273
2002,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,42.56944444444444
2002,smooth cordgrass,Spartina alterniflora Loisel.,86.6969696969697
2002,turtleweed,Batis maritima L.,70.20833333333333
2003,common reed,Phragmites australis (Cav.) Trin. ex Steud.,72.5
2003,needlegrass rush,Juncus roemerianus Scheele,24.807692307692307
2003,saltgrass,Distichlis spicata (L.) Greene,77.66666666666667
2003,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,27.652631578947368
2003,smooth cordgrass,Spartina alterniflora Loisel.,31.632978723404257
2003,turtleweed,Batis maritima L.,78.8125
2004,common reed,Phragmites australis (Cav.) Trin. ex Steud.,72
2004,needlegrass rush,Juncus roemerianus Scheele,85
2004,saltgrass,Distichlis spicata (L.) Greene,43.714285714285715
2004,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,52.30681818181818
2004,smooth cordgrass,Spartina alterniflora Loisel.,60.721311475409834
2005,common reed,Phragmites australis (Cav.) Trin. ex Steud.,32.5
2005,saltgrass,Distichlis spicata (L.) Greene,15
2005,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,8.666666666666666
2005,smooth cordgrass,Spartina alterniflora Loisel.,23.982905982905983
2006,needlegrass rush,Juncus roemerianus Scheele,75
2006,saltgrass,Distichlis spicata (L.) Greene,63
2006,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,58.125
2006,smooth cordgrass,Spartina alterniflora Loisel.,65
2006,turtleweed,Batis maritima L.,85
2007,common reed,Phragmites australis (Cav.) Trin. ex Steud.,51.666666666666664
2007,needlegrass rush,Juncus roemerianus Scheele,75
2007,saltgrass,Distichlis spicata (L.) Greene,61.23076923076923
2007,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,64.125
2007,smooth cordgrass,Spartina alterniflora Loisel.,60.68421052631579
2007,turtleweed,Batis maritima L.,31.916666666666668
2008,common reed,Phragmites australis (Cav.) Trin. ex Steud.,90
2008,needlegrass rush,Juncus roemerianus Scheele,88.57142857142857
2008,saltgrass,Distichlis spicata (L.) Greene,92.72727272727273
2008,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,83.56
2008,smooth cordgrass,Spartina alterniflora Loisel.,82.53846153846153
2008,turtleweed,Batis maritima L.,90
2009,needlegrass rush,Juncus roemerianus Scheele,85
2009,saltgrass,Distichlis spicata (L.) Greene,81.83333333333333
2009,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,85.23076923076923
2009,smooth cordgrass,Spartina alterniflora Loisel.,79.9047619047619
2010,needlegrass rush,Juncus roemerianus Scheele,90
2010,saltgrass,Distichlis spicata (L.) Greene,90
2010,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,90
2010,smooth cordgrass,Spartina alterniflora Loisel.,82.14285714285714
2011,smooth cordgrass,Spartina alterniflora Loisel.,90.75
2012,common reed,Phragmites australis (Cav.) Trin. ex Steud.,6.5
2012,needlegrass rush,Juncus roemerianus Scheele,82.85714285714286
2012,saltgrass,Distichlis spicata (L.) Greene,71.08333333333333
2012,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,69.36363636363636
2012,smooth cordgrass,Spartina alterniflora Loisel.,20.50181818181818
2013,common reed,Phragmites australis (Cav.) Trin. ex Steud.,15
2013,saltgrass,Distichlis spicata (L.) Greene,27.23076923076923
2013,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,22.2
2013,smooth cordgrass,Spartina alterniflora Loisel.,28.88
2014,needlegrass rush,Juncus roemerianus Scheele,91.66666666666667
2014,saltgrass,Distichlis spicata (L.) Greene,70.75
2014,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,44.833333333333336
2014,smooth cordgrass,Spartina alterniflora Loisel.,73.05
2014,turtleweed,Batis maritima L.,86
2015,common reed,Phragmites australis (Cav.) Trin. ex Steud.,90
2015,needlegrass rush,Juncus roemerianus Scheele,78.18181818181819
2015,saltgrass,Distichlis spicata (L.) Greene,74.44444444444444
2015,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,65.55555555555556
2015,smooth cordgrass,Spartina alterniflora Loisel.,76
2016,saltgrass,Distichlis spicata (L.) Greene,25
2016,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,35
2016,smooth cordgrass,Spartina alterniflora Loisel.,17.6
