svg,svg_id,label,status_text,status_color ,modal_before,modal_after
saltmarsh_ecotone.svg,bird_diversity,Bird Diversity (biodiversity),NA,NA,NA,NA
saltmarsh_ecotone.svg,rosseate_spoonbill,Rosseate Spoonbill (focal species),NA,NA,NA,NA
saltmarsh_ecotone.svg,seaside_sparrow,Seaside Sparrow (Indicator species),NA,NA,NA,NA
saltmarsh_ecotone.svg,blue_crabs,Blue Crabs (focal species),NA,NA,NA,NA
saltmarsh_ecotone.svg,shrimp,Shrimp (focal species),NA,NA,NA,NA
saltmarsh_ecotone.svg,smooth_cordgrass,Salt Marsh Vegetation (foundation species),NA,NA,NA,NA
saltmarsh_ecotone.svg,phragmites,Phragmites (invasive species),NA,NA,NA,NA
saltmarsh_ecotone.svg,black_mangroves,Black Mangroves (invasive species),NA,NA,NA,NA
saltmarsh_ecotone.svg,diamondback_terrapin,Diamondback Terrapin (focal),NA,NA,NA,NA
saltmarsh_ecotone.svg,oyster_reef,Oyster Reefs (keystone species),NA,NA,NA,NA
saltmarsh_ecotone.svg,red_snapper,Snappers (focal species),NA,NA,NA,NA
saltmarsh_ecotone.svg,red_drum,Drums (focal species),NA,NA,NA,NA
saltmarsh_ecotone.svg,nutria,Nutria (invasive species),NA,NA,NA,NA
saltmarsh_ecotone.svg,bottlenose_dolphin,Bottlenose Dolphin (focal species),NA,NA,NA,NA
saltmarsh_ecotone.svg,muskrat,Muskrat,NA,NA,NA,NA
saltmarsh_ecotone.svg,fiddler_crabs,Fiddler Crabs,NA,NA,NA,NA
saltmarsh_ecotone.svg,periwinkle_snails,Periwinkle Snals,NA,NA,NA,NA
saltmarsh_ecotone.svg,ribbed_mussle,Ribbed Mussle (foundation species),NA,NA,NA,NA
